Country;Population;YearlyChange;NetChange;Density;LandArea;Migrants;FertRate;MedAge;UrbanPop;WorldShare
Afghanistan;38928346;233;886592;60;652860;-62920;46;18;25;5
Armenia;2963243;19;5512;104;28470;-4998;18;35;63;4
Azerbaijan;10139177;91;91459;123;82658;1200;21;32;56;13
Bahrain;1701575;368;60403;2239;760;47800;2;32;89;2
Bangladesh;164689383;101;1643222;1265;130170;-369501;21;28;39;211
Bhutan;771608;112;8516;20;38117;320;2;28;46;1
Brunei;437479;97;4194;83;5270;0;18;32;80;1
Cambodia;16718965;141;232423;95;176520;-30000;25;26;24;21
China;1439323776;39;5540090;153;9388211;-348399;17;38;61;1847
Cyprus;1207359;73;8784;131;9240;5000;13;37;67;2
Georgia;3989167;-19;-7598;57;69490;-10000;21;38;58;5
Hong Kong;7496981;82;60827;7140;1050;29308;13;45;;1
India;1380004385;99;13586631;464;2973190;-532687;22;28;35;177
Indonesia;273523615;107;2898047;151;1811570;-98955;23;30;56;351
Iran;83992949;13;1079043;52;1628550;-55000;22;32;76;108
Iraq;40222493;232;912710;93;434320;7834;37;21;73;52
Israel;8655535;16;136158;400;21640;10000;3;30;93;11
Japan;126476461;-3;-383840;347;364555;71560;14;48;92;162
Jordan;10203134;1;101440;115;88780;10220;28;24;91;13
Kazakhstan;18776707;121;225280;7;2699700;-18000;28;31;58;24
Kuwait;4270571;151;63488;240;17820;39520;21;37;;5
Kyrgyzstan;6524195;169;108345;34;191800;-4000;3;26;36;8
Laos;7275560;148;106105;32;230800;-14704;27;24;36;9
Lebanon;6825445;-44;-30268;667;10230;-30012;21;30;78;9
Macao;649335;139;8890;21645;30;5000;12;39;;1
Malaysia;32365999;13;416222;99;328550;50000;2;30;78;42
Maldives;540544;181;9591;1802;300;11370;19;30;35;1
Mongolia;3278290;165;53123;2;1553560;-852;29;28;67;4
Myanmar;54409800;67;364380;83;653290;-163313;22;29;31;7
Nepal;29136808;185;528098;203;143350;41710;19;25;21;37
North Korea;25778816;44;112655;214;120410;-5403;19;35;63;33
Oman;5106626;265;131640;16;309500;87400;29;31;87;7
Pakistan;220892340;2;4327022;287;770880;-233379;36;23;35;283
Philippines;109581078;135;1464463;368;298170;-67152;26;26;47;141
Qatar;2881053;173;48986;248;11610;40000;19;32;96;4
Saudi Arabia;34813871;159;545343;16;2149690;134979;23;32;84;45
Singapore;5850342;79;46005;8358;700;27028;12;42;;8
South Korea;51269185;9;43877;527;97230;11731;11;44;82;66
Sri Lanka;21413249;42;89516;341;62710;-97986;22;34;18;27
State of Palestine;5101414;241;119994;847;6020;-10563;37;21;80;7
Syria;17500658;252;430523;95;183630;-427391;28;26;60;22
Taiwan;23816775;18;42899;673;35410;30001;12;42;79;31
Tajikistan;9537645;232;216627;68;139960;-20000;36;22;27;12
Thailand;69799978;25;174396;137;510890;19444;15;40;51;9
Timor-Leste;1318445;196;25326;89;14870;-5385;41;21;33;2
Turkey;84339067;109;909452;110;769630;283922;21;32;76;108
Turkmenistan;6031200;15;89111;13;469930;-5000;28;27;53;8
United Arab Emirates;9890402;123;119873;118;83600;40000;14;33;86;13
Uzbekistan;33469203;148;487487;79;425400;-8863;24;28;50;43
Vietnam;97338579;91;876473;314;310070;-80000;21;32;38;125
Yemen;29825964;228;664042;56;527970;-30000;38;20;38;38
